Class ID	Parents
HP_0008650	
HP_0004593	
HP_0012026	HP_0012025
HP_0200133	HP_0100712
HP_0005344	HP_0011004
HP_0001287	HP_0011450|HP_0012649
HP_0006131	
HP_0430028	HP_0000326
HP_0007943	HP_0000381
HP_0000973	HP_0008067
HP_0007079	
HP_0030442	HP_0030440
HP_3000079	HP_0011842
HP_0003041	HP_0002818|HP_0003063|HP_0003938|HP_0100744
HP_0008910	
HP_0006749	HP_0007378
HP_0011275	HP_0011274
HP_0001724	
HP_0002223	HP_0100840|HP_0002298
HP_0005136	HP_0004382
HP_0000729	HP_0000708
HP_0006103	
HP_0025448	HP_0025447
HP_0008442	HP_0100774|HP_0003468
HP_0040298	HP_0030126
HP_0004385	HP_0002014
HP_0010671	
HP_0012807	HP_0009929
HP_0011474	HP_0000407
HP_0001079	
HP_0006948	
HP_0006316	HP_0000692
HP_0002259	
HP_0004180	HP_0009421|HP_0009882|HP_0009461
HP_0005992	
HP_0031581	HP_0031574
HP_0025243	HP_0000573
HP_0000117	HP_0012599
HP_0001929	HP_0010989
HP_0012602	HP_0012600
HP_0007888	
HP_0010512	HP_0010766|HP_0011732
HP_0007675	HP_0000662
HP_0002650	HP_0010674
HP_0010884	HP_0009815
HP_0025503	HP_0011636
HP_0008478	HP_0010891
HP_0004349	HP_0004348
HP_0011851	HP_0001698
HP_0001456	
HP_0100160	HP_0100058|HP_0100093
HP_0005712	
HP_0003622	
HP_0009581	HP_0009544|HP_0009852|HP_0009547
HP_0008647	HP_0008197
HP_0030550	HP_0030533
HP_0006062	
HP_0001228	
HP_0009841	
HP_0001655	HP_0001631
HP_0031301	HP_0003207
HP_0011383	HP_0011380
HP_0007735	
HP_0005100	HP_0001622|HP_0001788
HP_0100196	HP_0100096|HP_0100071
HP_0006912	
HP_0002595	HP_0002579|HP_0005214
HP_0003606	HP_0003110
HP_0009781	HP_0001100
HP_0001516	
HP_0007262	HP_0011096
HP_0031750	HP_0031749
HP_0100633	HP_0004386|HP_0002031
HP_0003185	HP_0030266
HP_0040085	HP_0000847
HP_0001043	HP_3000036|HP_0001015|HP_0001965
HP_0002855	
HP_0012583	HP_0000089
HP_0003782	HP_0004325
HP_0007905	HP_0008047|HP_0000525
HP_0100366	HP_0010331|HP_0010359|HP_0010746
HP_0004106	
HP_0001692	HP_0005115
HP_0031161	HP_0012705
HP_0100793	
HP_0003588	
HP_0007432	HP_0200034
HP_0006268	HP_0001744
HP_0003355	HP_0004337|HP_0012072
HP_0001213	
HP_0000049	HP_0000045
HP_0005938	HP_0012253
HP_0040110	HP_0011380
HP_0010464	HP_0008724
HP_0004982	
HP_0000104	HP_0008678
HP_0003170	HP_0001384
HP_0005306	HP_0001028
HP_0030571	HP_0030535
HP_0009987	HP_0009985|HP_0009999
HP_0100421	HP_0100403
HP_0009862	
HP_0008175	
HP_0008908	
HP_0007468	HP_0000962|HP_0031285
HP_0011904	HP_0011902
HP_0030831	HP_0030829
HP_0011171	HP_0002373
HP_0004555	
HP_0010841	HP_0011185
HP_0001249	HP_0012759
HP_0011644	HP_0011642
HP_0008571	
HP_0002612	HP_0001395
HP_0031070	HP_0031069
HP_0007617	HP_0001000
HP_0040315	HP_0000157|HP_0000969
HP_0004402	
HP_0005481	
HP_0003951	HP_0003949|HP_0003913
HP_0030363	HP_0011410
HP_0008831	
HP_0001861	
HP_0010373	HP_0010175|HP_0010336
HP_0009779	HP_0001770
HP_0031239	HP_0011506
HP_0100962	HP_0012433
HP_0100330	
HP_0006705	HP_0001654
HP_0012127	HP_0004353
HP_0010901	HP_0004339|HP_0010899
HP_0025435	HP_0045040
HP_0009574	HP_0009543|HP_0009545|HP_0009849
HP_0003615	
HP_0010037	HP_0010048|HP_0010036
HP_0030776	HP_0030775
HP_0006232	HP_0005916
HP_0002175	
HP_0003987	HP_0003084|HP_0002997|HP_0003961
HP_0004142	
HP_0025028	HP_0002242|HP_0012331
HP_0002648	HP_0002683
HP_0000013	HP_0008684
HP_0001825	
HP_0005237	HP_0410042
HP_0002344	HP_0001268
HP_0200026	HP_0012531|HP_0012373
HP_0007204	HP_0002500
HP_0003147	
HP_0006880	HP_0001317|HP_0010797
HP_0002817	HP_0040064
HP_0003896	HP_0003891|HP_0003842
HP_0010129	HP_0010115|HP_0010126
HP_0100122	HP_0100090|HP_0100044
