Class ID	Parents
DOID_8925	DOID_0060050
DOID_4893	DOID_5099|DOID_305
DOID_3351	DOID_3347
DOID_0110404	DOID_10584
DOID_0060260	DOID_5614
DOID_1025	DOID_1024
DOID_14308	DOID_474|DOID_471
DOID_0060370	DOID_0060894
DOID_0060243	DOID_4186
DOID_4749	DOID_3565
DOID_8951	
DOID_999	DOID_9500
DOID_1204	
DOID_0060353	DOID_0060379
DOID_3504	DOID_2526|DOID_3493
DOID_13352	DOID_1234
DOID_893	DOID_896|DOID_409
DOID_3471	
DOID_3530	DOID_649
DOID_5015	DOID_684
DOID_2782	DOID_12192
DOID_4267	DOID_936
DOID_2085	
DOID_0060840	DOID_10629
DOID_12357	DOID_1468
DOID_4446	
DOID_9867	DOID_2007
DOID_8016	
DOID_757	
DOID_2815	DOID_338
DOID_10827	
DOID_4293	DOID_2513
DOID_6505	DOID_135
DOID_4808	
DOID_4387	
DOID_8805	DOID_3393
DOID_13557	
DOID_4775	
DOID_3024	DOID_2526
DOID_9985	
DOID_8622	DOID_934
DOID_2935	DOID_0050737
DOID_8831	
DOID_0050428	DOID_3390
DOID_12097	
DOID_3389	DOID_3388|DOID_3390
DOID_6511	DOID_5350
DOID_0060003	
DOID_6023	
DOID_0110977	DOID_0110964
DOID_7933	DOID_5599
DOID_5934	
DOID_13480	
DOID_7907	DOID_5076
DOID_9385	
DOID_12526	DOID_1187
DOID_3698	DOID_4896|DOID_3030
DOID_0110270	DOID_83
DOID_0110380	DOID_10584
DOID_939	
DOID_0090015	DOID_1934
DOID_0060113	
DOID_0090125	DOID_936
DOID_0080016	DOID_0080074
DOID_0090142	DOID_9252
DOID_0080033	DOID_4254
DOID_11614	
DOID_0080126	DOID_700
DOID_0080109	DOID_0060123
DOID_0080143	DOID_1279
DOID_0110160	DOID_0050539
DOID_5454	
DOID_12113	
DOID_9630	
DOID_13452	DOID_11343
DOID_10323	DOID_10316
DOID_1278	DOID_1279
DOID_0110030	DOID_1099
DOID_0110013	DOID_0050628
DOID_13192	
DOID_14203	DOID_10223
DOID_5781	DOID_5782
DOID_0060199	DOID_332
DOID_5572	DOID_225
DOID_12898	
DOID_11086	DOID_5679
DOID_1758	
DOID_11523	
DOID_0060600	DOID_870
DOID_1396	
DOID_5607	
DOID_14392	DOID_3875
DOID_0060710	DOID_0060655
DOID_7083	
DOID_0111071	DOID_0050674
DOID_0110500	DOID_0050565
DOID_0111054	DOID_12531
DOID_10528	
DOID_3008	DOID_3007
DOID_13397	
DOID_1521	DOID_5672
DOID_0050446	
DOID_4918	DOID_299|DOID_4919
DOID_4397	DOID_2723
DOID_10055	
DOID_14	
DOID_8606	
DOID_13834	
DOID_5334	DOID_2712
DOID_6876	
DOID_0060669	DOID_501
DOID_0060686	DOID_0060681
DOID_0060779	DOID_0060774
DOID_0060796	DOID_0060786
DOID_1641	DOID_0060082
DOID_1700	DOID_0050735
DOID_8696	DOID_8527
DOID_37	DOID_16
DOID_3461	
DOID_6697	DOID_3360
DOID_10115	
DOID_2437	
DOID_2825	DOID_974
DOID_14796	DOID_225
DOID_12161	DOID_8466
DOID_0050840	DOID_0050836
DOID_0050823	DOID_0050820
DOID_0050950	DOID_0050951
DOID_8150	DOID_7574
DOID_0050933	DOID_4001
DOID_9489	
DOID_8453	
DOID_8941	DOID_8741
DOID_8244	
DOID_0050226	
DOID_0050243	
DOID_2557	DOID_6227
DOID_0060462	DOID_2256
DOID_0050370	
DOID_0050353	DOID_11976
DOID_2945	DOID_934
DOID_0060335	DOID_8955
DOID_0050463	DOID_2256
DOID_0050480	DOID_11256
DOID_11118	
DOID_12197	DOID_12196|DOID_9368
DOID_0060445	DOID_0060442
DOID_0050336	DOID_2485
DOID_4277	DOID_3449|DOID_2513
DOID_1041	
DOID_4765	DOID_1324|DOID_0070003
DOID_12634	
DOID_0080108	DOID_423
DOID_0070016	DOID_2729
DOID_0090029	DOID_417
DOID_0070109	
