DOID	Number_of_ancestors
DOID_0050652	1
DOID_8208	9
DOID_0050168	9
DOID_0050659	8
DOID_0050658	7
DOID_13335	1
DOID_10314	7
DOID_3825	8
DOID_6033	8
DOID_13337	1
DOID_3494	9
DOID_6609	1
DOID_12162	11
DOID_7223	9
DOID_11600	1
DOID_3239	1
DOID_12714	7
DOID_12715	1
DOID_12716	8
DOID_12710	1
DOID_7221	8
DOID_12712	7
DOID_12713	1
DOID_3490	4
DOID_13332	1
DOID_12718	9
DOID_3491	8
DOID_3234	9
DOID_684	9
DOID_3492	7
DOID_14425	1
DOID_683	8
DOID_3493	8
DOID_6254	1
DOID_9102	1
DOID_0060069	1
DOID_6257	7
DOID_0060065	8
DOID_0060064	8
DOID_0060067	6
DOID_6256	8
DOID_0060061	12
DOID_0060060	9
DOID_0060063	8
DOID_6607	7
DOID_14059	8
DOID_6604	1
DOID_6258	8
DOID_899	8
DOID_10556	6
DOID_10009	1
DOID_0080011	8
DOID_0110890	7
DOID_0110891	7
DOID_0060399	6
DOID_0060398	6
DOID_0110894	7
DOID_0110895	7
DOID_0110896	7
DOID_0110897	7
DOID_0060393	6
DOID_0060392	6
DOID_0060391	6
DOID_0060390	6
DOID_0060397	6
DOID_0080177	7
DOID_0060395	6
DOID_0060394	6
DOID_0110036	9
DOID_6564	10
DOID_0110034	6
DOID_2047	5
DOID_12610	1
DOID_14694	7
DOID_12613	1
DOID_2041	1
DOID_12340	1
DOID_2042	1
DOID_2754	8
DOID_2755	6
DOID_2756	1
DOID_2757	1
DOID_2750	8
DOID_2751	8
DOID_2752	8
DOID_2753	1
DOID_1261	1
DOID_1260	7
DOID_2418	1
DOID_1265	1
DOID_1264	1
DOID_4347	6
DOID_4346	7
DOID_4349	1
DOID_10717	1
DOID_3809	10
DOID_12570	10
DOID_12571	9
DOID_3805	7
DOID_3804	1
DOID_12574	11
DOID_3802	1
DOID_3800	1
DOID_6277	1
DOID_6276	8
DOID_6275	9
DOID_6274	8
DOID_6273	1
DOID_6272	1
DOID_6271	10
DOID_6270	9
DOID_11001	1
DOID_11000	1
DOID_11003	1
DOID_11002	1
DOID_11005	1
DOID_11007	1
DOID_6278	11
DOID_3578	9
DOID_0060581	5
DOID_4697	9
DOID_4696	10
DOID_4695	1
DOID_4694	1
DOID_4693	8
DOID_4692	9
DOID_4691	8
DOID_4690	9
DOID_18	4
DOID_37	5
DOID_4698	8
DOID_10486	6
DOID_9109	1
DOID_16	4
DOID_7959	9
DOID_0110740	8
DOID_10485	6
DOID_0110741	9
DOID_4203	10
DOID_0080061	9
DOID_0050300	1
DOID_0080067	9
DOID_0080066	9
DOID_0110746	9
DOID_0080117	7
DOID_0110747	9
DOID_339	9
DOID_338	8
DOID_337	9
DOID_336	1
DOID_334	5
DOID_333	1
DOID_332	8
DOID_331	5
DOID_9299	7
DOID_0050308	6
DOID_7344	1
DOID_7050	10
DOID_7051	10
DOID_7053	1
DOID_7054	12
DOID_7586	11
DOID_7587	10
DOID_7584	11
DOID_7585	10
DOID_7583	9
DOID_7580	1
DOID_7581	1
DOID_8579	1
DOID_7588	1
DOID_7589	1
DOID_0080115	7
DOID_13924	10
DOID_5567	10
DOID_5564	9
DOID_5565	9
DOID_5562	1
DOID_5563	9
DOID_5560	8
DOID_13923	1
DOID_6184	1
DOID_13929	9
DOID_5568	8
DOID_5569	9
DOID_0110533	9
DOID_0110532	9
DOID_0110531	9
DOID_0110530	9
DOID_0110537	9
DOID_7639	9
DOID_0110535	9
DOID_0110534	9
DOID_7634	9
DOID_7635	9
DOID_0110539	9
DOID_0110538	9
DOID_7631	10
DOID_7632	8
DOID_7633	9
DOID_8036	10
DOID_6552	9
DOID_3011	7
DOID_4967	1
DOID_14272	9
DOID_0060100	6
DOID_0080112	7
DOID_0050949	9
DOID_0110619	6
DOID_8493	1
DOID_801	9
DOID_800	1
DOID_807	9
DOID_809	6
DOID_3240	8
DOID_3247	9
DOID_3246	10
DOID_0050008	1
DOID_0050009	1
DOID_8058	9
DOID_0050000	1
DOID_0050001	1
DOID_2033	6
DOID_0050003	1
DOID_0050004	8
DOID_0050005	1
DOID_0050006	1
DOID_0050007	1
DOID_9898	9
DOID_9899	1
DOID_9892	4
DOID_9893	7
DOID_9890	1
DOID_9891	1
DOID_9897	1
DOID_4916	7
DOID_6860	1
DOID_6861	1
DOID_6867	9
DOID_6865	12
DOID_6702	1
DOID_6869	13
DOID_4917	8
DOID_0080184	10
DOID_0080185	10
DOID_0080186	10
DOID_0080187	10
DOID_0080180	4
DOID_0080181	7
DOID_5982	9
DOID_0080183	11
DOID_0080188	10
DOID_5989	1
DOID_0110951	8
DOID_0110950	8
DOID_0110953	8
DOID_9091	5
DOID_9096	1
DOID_9097	6
DOID_0110957	9
DOID_0110956	8
DOID_0110959	9
DOID_0110958	9
DOID_9098	6
DOID_3638	1
DOID_3639	9
DOID_1803	7
DOID_3633	6
DOID_3635	9
DOID_3636	1
DOID_3637	9
DOID_12387	7
DOID_12386	6
DOID_12385	6
DOID_12384	7
DOID_12382	9
DOID_12380	1
DOID_12388	6
DOID_13038	10
DOID_0060230	8
DOID_0060231	4
DOID_0060720	7
DOID_0060233	4
DOID_0060234	11
DOID_0060235	6
DOID_0060236	6
DOID_0070049	9
DOID_0060238	4
DOID_0060239	4
DOID_0070044	9
DOID_0070045	9
DOID_0070042	9
DOID_0070043	9
DOID_0070040	9
DOID_0070041	9
DOID_5360	1
DOID_5361	1
DOID_5362	5
DOID_5363	10
DOID_5364	8
DOID_5366	1
DOID_5368	11
DOID_5369	1
DOID_6705	9
DOID_12963	1
DOID_12961	4
DOID_5239	1
DOID_12965	9
DOID_350	6
DOID_12969	9
DOID_6704	1
DOID_7809	1
DOID_7808	10
DOID_7801	1
DOID_7800	1
DOID_7807	12
DOID_7806	8
DOID_7805	1
DOID_14155	10
DOID_7267	9
DOID_5233	11
DOID_10525	10
DOID_10527	1
DOID_10526	10
DOID_10521	1
DOID_10520	9
DOID_10529	1
DOID_10528	1
DOID_5773	6
DOID_5772	8
DOID_5771	1
DOID_5770	1
DOID_5777	8
DOID_5776	9
DOID_5775	9
DOID_5774	9
DOID_0050785	9
DOID_10015	1
DOID_8177	10
DOID_0050393	1
DOID_14150	9
DOID_0080056	10
DOID_2040	1
DOID_10958	1
DOID_11920	7
DOID_13587	1
DOID_14151	9
DOID_10039	8
DOID_10038	1
DOID_14009	1
DOID_10033	9
DOID_1093	1
DOID_14004	9
DOID_10030	10
DOID_1097	1
DOID_1094	6
DOID_10034	8
DOID_478	1
DOID_479	9
DOID_7074	1
DOID_470	9
DOID_471	8
DOID_472	7
DOID_474	7
DOID_476	8
DOID_6512	13
DOID_6041	12
DOID_6510	9
DOID_6043	13
DOID_6045	1
DOID_6514	13
DOID_6048	10
DOID_0080054	10
DOID_6518	10
DOID_3039	11
DOID_0050396	1
DOID_0110326	9
DOID_0110327	9
DOID_0110324	9
DOID_8917	1
DOID_0110322	9
DOID_0110323	9
DOID_8912	6
DOID_0110321	9
DOID_8918	1
DOID_8919	1
DOID_0110328	9
DOID_0110329	10
DOID_1892	1
DOID_1893	11
DOID_1891	8
DOID_1896	9
DOID_1897	7
DOID_1894	10
DOID_1895	11
DOID_9377	1
DOID_14676	1
DOID_9376	1
DOID_13711	7
DOID_13717	11
DOID_13714	7
DOID_0110379	11
DOID_0110378	11
DOID_0110182	10
DOID_0110183	10
DOID_0110180	10
DOID_0110181	10
DOID_0110186	10
DOID_0110187	10
DOID_0110184	10
DOID_0110185	10
DOID_0110188	10
DOID_0110189	10
DOID_0110375	11
DOID_0110374	11
DOID_424	7
DOID_0110377	11
DOID_9629	1
DOID_9628	1
DOID_0110371	11
DOID_0110370	11
DOID_0080050	10
DOID_9158	1
DOID_8923	7
DOID_0110372	11
DOID_2163	7
DOID_5500	8
DOID_5501	7
DOID_8055	1
DOID_5502	6
DOID_4745	1
DOID_4918	8
DOID_0111056	7
DOID_0111055	7
DOID_0111054	8
DOID_0111053	7
DOID_0111052	7
DOID_0111051	7
DOID_0111050	7
DOID_4910	8
DOID_4911	1
DOID_4912	1
DOID_4914	9
DOID_4915	6
DOID_0111059	8
DOID_0111058	7
DOID_0110813	8
DOID_9625	1
DOID_13277	1
DOID_4744	8
DOID_0110815	8
DOID_0050633	8
DOID_5508	12
DOID_0050631	6
DOID_0050630	8
DOID_0050637	6
DOID_0050636	6
DOID_0050635	7
DOID_0050634	8
DOID_0050639	6
DOID_2861	9
DOID_8269	1
DOID_0050435	1
DOID_536	1
DOID_9799	8
DOID_0050434	9
DOID_9795	1
DOID_9794	10
DOID_9796	1
DOID_9791	1
DOID_9790	6
DOID_9793	1
DOID_1866	10
DOID_0090127	7
DOID_0090126	7
DOID_0090125	7
DOID_5806	8
DOID_0090123	5
DOID_0090122	5
DOID_0090121	8
DOID_10612	7
DOID_0090129	6
DOID_0090128	7
DOID_0050062	1
DOID_8305	7
DOID_4920	9
DOID_5802	1
DOID_0110557	9
DOID_0080097	8
DOID_0110556	9
DOID_2167	1
DOID_0050066	1
DOID_0050067	1
DOID_0060009	8
DOID_0060008	8
DOID_0050064	1
DOID_0060003	1
DOID_0060002	7
DOID_0060001	5
DOID_0060000	8
DOID_0060007	8
DOID_0060006	8
DOID_0060005	7
DOID_0060004	8
DOID_2115	6
DOID_13722	7
DOID_13723	1
DOID_8307	11
DOID_1738	9
DOID_13239	9
DOID_0080034	1
DOID_9138	6
DOID_2165	1
DOID_9130	1
DOID_9132	6
DOID_9135	1
DOID_9134	1
DOID_9137	1
DOID_9136	1
DOID_0060750	10
DOID_1308	1
DOID_3737	8
DOID_7003	1
DOID_1301	1
DOID_1306	1
DOID_1307	5
DOID_1304	1
DOID_1305	1
DOID_3799	1
DOID_12779	1
DOID_12776	1
DOID_12777	1
DOID_12774	1
DOID_12775	1
DOID_12772	1
DOID_12773	1
DOID_12770	1
DOID_12771	1
DOID_14734	1
DOID_3125	1
DOID_0080036	9
DOID_3127	7
DOID_14058	1
DOID_14731	4
DOID_1247	5
DOID_10731	1
DOID_1245	8
DOID_4364	7
DOID_4363	1
DOID_1242	8
DOID_4361	1
DOID_1240	8
DOID_0080037	9
DOID_3123	1
DOID_1249	1
DOID_1248	9
DOID_12592	1
DOID_3864	11
DOID_3867	1
DOID_12591	1
DOID_3861	11
DOID_3860	11
DOID_3863	1
DOID_12595	1
DOID_3869	11
DOID_3868	11
DOID_11023	1
DOID_2181	7
DOID_11020	1
DOID_11027	1
DOID_0080030	10
DOID_0110158	10
DOID_3128	7
DOID_11029	10
DOID_11028	10
DOID_14739	1
DOID_53	5
DOID_0014667	3
DOID_57	8
DOID_56	1
DOID_55	1
DOID_54	1
DOID_59	1
DOID_58	1
DOID_1528	1
DOID_0080031	8
DOID_1470	7
DOID_6545	1
DOID_13047	1
DOID_13537	1
DOID_7332	10
DOID_10198	1
DOID_10199	8
DOID_13536	1
DOID_10194	7
DOID_10195	7
DOID_10190	9
DOID_10191	1
DOID_10192	7
DOID_10193	7
DOID_315	7
DOID_314	9
DOID_641	1
DOID_640	6
DOID_647	1
DOID_646	8
DOID_5090	9
DOID_312	10
DOID_6214	10
DOID_649	7
DOID_648	8
DOID_6211	9
DOID_6210	10
DOID_6213	1
DOID_5099	8
DOID_1938	1
DOID_7039	8
DOID_1931	8
DOID_7037	7
DOID_1933	7
DOID_1932	5
DOID_1935	7
DOID_1934	8
DOID_7030	9
DOID_7031	8
DOID_10996	1
DOID_13534	10
DOID_10991	8
DOID_10992	8
DOID_10993	1
DOID_10998	1
DOID_5548	1
DOID_5549	1
DOID_13948	6
DOID_13949	7
DOID_5545	8
DOID_5546	9
DOID_13945	9
DOID_5540	8
DOID_13943	8
DOID_13941	10
DOID_7492	8
DOID_8949	1
DOID_687	8
DOID_0050967	9
DOID_13450	7
DOID_13451	1
DOID_0050826	7
DOID_13368	8
DOID_13369	7
DOID_13361	1
DOID_13366	8
DOID_13364	1
DOID_13365	7
DOID_867	8
DOID_866	6
DOID_865	6
DOID_864	7
DOID_863	4
DOID_862	5
DOID_3269	9
DOID_3267	10
DOID_3265	7
DOID_3264	9
DOID_3263	7
DOID_3262	6
DOID_869	7
DOID_3260	11
DOID_0110519	9
DOID_0050027	1
DOID_0050024	1
DOID_0050025	7
DOID_0050022	1
DOID_0050023	1
DOID_0050020	1
DOID_2018	7
DOID_0110511	9
DOID_0110046	9
DOID_0110513	9
DOID_8078	10
DOID_0110515	9
DOID_0110514	9
DOID_0050028	1
DOID_0110040	9
DOID_9300	10
DOID_9306	11
DOID_9307	7
DOID_9305	9
DOID_6848	9
DOID_6849	1
DOID_13033	7
DOID_6840	1
DOID_6841	10
DOID_8948	1
DOID_6844	10
DOID_6845	10
DOID_6846	7
DOID_6847	12
DOID_682	7
DOID_5561	8
DOID_0050282	1
DOID_0050283	1
DOID_0050280	1
DOID_0050281	1
DOID_0050286	1
DOID_0050287	1
DOID_0050284	1
DOID_0050285	1
DOID_0050288	7
DOID_0050962	9
DOID_308	10
DOID_8162	9
DOID_3659	6
DOID_0050961	9
DOID_3652	6
DOID_3653	1
DOID_3650	6
DOID_3651	6
DOID_0050691	7
DOID_0060425	6
DOID_13550	9
DOID_13273	1
DOID_5445	10
DOID_13458	1
DOID_5306	9
DOID_5307	9
DOID_5304	7
DOID_5305	1
DOID_5302	11
DOID_5303	11
DOID_5301	9
DOID_13274	1
DOID_5308	10
DOID_14118	7
DOID_4520	10
DOID_13275	1
DOID_0060530	10
DOID_7364	1
DOID_12905	7
DOID_12904	7
DOID_12901	7
DOID_12900	9
DOID_0050844	10
DOID_7365	6
DOID_4522	8
DOID_0060748	10
DOID_0060749	10
DOID_1338	9
DOID_0060218	4
DOID_0060219	11
DOID_0060216	8
DOID_0060217	8
DOID_0060742	8
DOID_0060743	8
DOID_0060744	7
DOID_0060745	13
DOID_0060746	13
DOID_0060211	9
DOID_2658	10
DOID_2651	1
DOID_2653	7
DOID_2655	1
DOID_2654	1
DOID_2656	9
DOID_0050278	6
DOID_14559	8
DOID_0050840	10
DOID_4891	1
DOID_11901	1
DOID_11902	1
DOID_11904	1
DOID_11905	9
DOID_11907	9
DOID_1334	1
DOID_4550	9
DOID_14021	4
DOID_14022	8
DOID_0050841	10
DOID_10059	1
DOID_14025	1
DOID_14026	7
DOID_10508	1
DOID_10507	7
DOID_10506	1
DOID_10505	1
DOID_10504	1
DOID_10051	1
DOID_10502	1
DOID_10501	1
DOID_10052	1
DOID_100	6
DOID_3019	1
DOID_13553	1
DOID_13555	1
DOID_13554	1
DOID_458	1
DOID_13556	1
DOID_6530	10
DOID_457	1
DOID_6532	1
DOID_6533	1
DOID_452	7
DOID_6535	1
DOID_450	9
DOID_3017	7
DOID_2228	8
DOID_2229	6
DOID_6024	9
DOID_6025	7
DOID_6022	1
DOID_6023	1
DOID_6020	1
DOID_1512	10
DOID_2220	1
DOID_2487	1
DOID_2222	7
DOID_2223	8
DOID_2224	9
DOID_2225	1
DOID_2226	8
DOID_2227	1
DOID_4030	7
DOID_1332	1
DOID_4036	1
DOID_14284	9
DOID_14286	9
DOID_14287	11
DOID_0050644	6
DOID_14283	4
DOID_0050645	6
DOID_14289	8
DOID_13775	5
DOID_13774	8
DOID_13777	7
DOID_13771	1
DOID_13772	1
DOID_5931	1
DOID_13778	6
DOID_0080010	7
DOID_7312	7
DOID_9095	6
DOID_14160	1
DOID_8796	1
DOID_8794	1
DOID_8795	1
DOID_8792	6
DOID_8793	1
DOID_8790	1
DOID_8791	6
DOID_14165	9
DOID_440	7
DOID_8798	1
DOID_10689	1
DOID_3307	8
DOID_0111079	12
DOID_0111078	10
DOID_0111075	8
DOID_0111074	8
DOID_0111077	10
DOID_0111076	8
DOID_0111071	8
DOID_0111070	8
DOID_0111073	7
DOID_0111072	7
DOID_13812	7
DOID_13089	8
DOID_13088	8
DOID_10871	12
DOID_4978	1
DOID_4979	1
DOID_4976	7
DOID_4977	6
DOID_4974	6
DOID_13080	7
DOID_4972	8
DOID_10138	10
DOID_4970	8
DOID_4971	8
DOID_0050619	7
DOID_0050618	8
DOID_14551	1
DOID_8539	1
DOID_0110708	7
DOID_0110709	7
DOID_0050349	1
DOID_0080028	10
DOID_8532	1
DOID_0050610	6
DOID_8530	1
DOID_0050344	1
DOID_0050343	1
DOID_0080022	1
DOID_0050617	8
DOID_0050616	8
DOID_0080166	9
DOID_0050247	1
DOID_0080164	8
DOID_0080165	9
DOID_0090109	7
DOID_0090108	8
DOID_0090105	8
DOID_0090104	7
DOID_0090107	8
DOID_0090106	6
DOID_0090101	8
DOID_0090100	4
DOID_0090103	8
DOID_0080163	5
DOID_2314	9
DOID_445	7
DOID_0080160	10
DOID_0110451	9
DOID_0050241	1
DOID_0110452	9
DOID_2317	1
DOID_5299	12
DOID_0110979	10
DOID_444	1
DOID_2960	7
DOID_0110456	9
DOID_14013	1
DOID_12724	1
DOID_0060021	7
DOID_0060020	8
DOID_0060023	7
DOID_0060022	7
DOID_0060025	7
DOID_0060024	7
DOID_0060027	8
DOID_291	1
DOID_0060029	7
DOID_0060028	8
DOID_9074	6
DOID_293	10
DOID_5291	1
DOID_14012	1
DOID_5292	9
DOID_12098	9
DOID_5443	8
DOID_9070	1
DOID_5442	10
DOID_627	7
DOID_9071	1
DOID_0110854	6
DOID_0110855	12
DOID_0110856	12
DOID_0110857	12
DOID_0110850	8
DOID_2827	1
DOID_9119	10
DOID_2825	6
DOID_9117	1
DOID_9116	1
DOID_9115	1
DOID_2829	1
DOID_0110858	8
DOID_0110859	8
DOID_9111	7
DOID_9110	1
DOID_1320	1
DOID_1321	1
DOID_1322	1
DOID_1323	1
DOID_1324	7
DOID_1325	7
DOID_1328	5
DOID_1329	1
DOID_1006	1
DOID_12750	7
DOID_12751	1
DOID_12020	1
DOID_12021	1
DOID_12754	1
DOID_12756	9
DOID_12025	1
DOID_12758	1
DOID_12759	10
DOID_12028	7
DOID_12029	7
DOID_4381	1
DOID_11593	8
DOID_2799	8
DOID_11223	7
DOID_11222	1
DOID_11225	1
DOID_11224	1
DOID_11227	5
DOID_11594	10
DOID_4998	7
DOID_2791	1
DOID_11599	7
DOID_7179	8
DOID_2796	1
DOID_2797	8
DOID_0060685	11
DOID_0060684	11
DOID_0060686	11
DOID_1229	7
DOID_1228	1
DOID_0060683	11
DOID_0060682	11
DOID_4305	9
DOID_4304	9
DOID_4307	8
DOID_4306	9
DOID_1221	1
DOID_0060688	8
DOID_4303	9
DOID_4302	9
DOID_3849	1
DOID_3848	1
DOID_8400	9
DOID_4999	1
DOID_3843	10
DOID_3842	10
DOID_0110677	10
DOID_3847	9
DOID_3846	9
DOID_3845	1
DOID_3844	1
DOID_0110678	10
